c Вес дерева 961.0, самое длинное ребро = 54
p edge 64
e 1 32
e 1 9
e 1 27
e 2 5
e 2 60
e 2 31
e 3 63
e 3 53
e 3 33
e 4 38
e 4 17
e 4 18
e 5 60
e 5 12
e 6 8
e 6 23
e 6 19
e 7 25
e 7 11
e 7 59
e 8 38
e 8 48
e 9 59
e 9 32
e 10 24
e 10 46
e 10 57
e 11 61
e 11 25
e 12 31
e 12 15
e 13 32
e 13 49
e 13 59
e 14 24
e 14 36
e 14 22
e 15 45
e 15 16
e 16 45
e 16 35
e 17 38
e 17 44
e 18 41
e 18 53
e 19 37
e 19 48
e 20 40
e 20 64
e 20 56
e 21 64
e 21 61
e 21 56
e 22 24
e 22 36
e 23 30
e 23 54

e 25 40
e 26 29
e 26 62
e 26 28
e 27 50
e 27 42
e 28 29
e 28 43
e 29 39
e 30 45
e 30 52
e 31 35

e 33 60
e 33 63
e 34 36
e 34 51
e 34 57
e 35 47

e 37 48
e 37 54

e 39 62
e 39 43
e 40 56
e 41 53
e 41 63
e 42 50
e 42 58
e 43 46
e 44 54
e 44 52

e 46 47
e 47 52

e 49 50
e 49 58

e 51 57
e 51 55



e 55 58
e 55 62





e 61 64



