c Вес дерева 27065.0, самое длинное ребро = 499
p edge 512
e 1 37
e 1 444
e 1 474
e 2 319
e 2 302
e 2 251
e 3 130
e 3 211
e 3 315
e 4 130
e 4 24
e 4 354
e 5 464
e 5 92
e 5 147
e 6 355
e 6 227
e 6 512
e 7 421
e 7 406
e 7 218
e 8 449
e 8 339
e 8 341
e 9 249
e 9 276
e 9 198
e 10 190
e 10 61
e 10 502
e 11 353
e 11 362
e 11 81
e 12 291
e 12 311
e 12 373
e 13 430
e 13 71
e 13 87
e 14 377
e 14 402
e 14 47
e 15 382
e 15 467
e 15 147
e 16 188
e 16 30
e 16 18
e 17 53
e 17 109
e 17 68
e 18 306
e 18 182
e 19 146
e 19 219
e 19 503
e 20 68
e 20 404
e 20 411
e 21 261
e 21 180
e 21 174
e 22 230
e 22 262
e 22 29
e 23 431
e 23 191
e 23 362
e 24 416
e 24 478
e 25 362
e 25 64
e 25 134
e 26 502
e 26 483
e 26 472
e 27 436
e 27 171
e 27 302
e 28 44
e 28 165
e 28 86
e 29 369
e 29 363
e 30 487
e 30 124
e 31 291
e 31 259
e 31 92
e 32 45
e 32 421
e 32 334
e 33 352
e 33 363
e 33 236
e 34 46
e 34 52
e 34 113
e 35 376
e 35 334
e 35 226
e 36 191
e 36 450
e 36 451
e 37 348
e 37 474
e 38 462
e 38 239
e 38 360
e 39 160
e 39 87
e 39 197
e 40 278
e 40 64
e 40 191
e 41 376
e 41 276
e 41 198
e 42 264
e 42 91
e 42 429
e 43 487
e 43 443
e 43 186
e 44 459
e 44 127
e 45 334
e 45 446
e 46 89
e 46 391
e 47 256
e 47 364
e 48 431
e 48 353
e 48 240
e 49 67
e 49 388
e 49 457
e 50 297
e 50 359
e 50 347
e 51 172
e 51 274
e 51 113
e 52 359
e 52 243
e 53 56
e 53 309
e 54 506
e 54 468
e 54 292
e 55 293
e 55 275
e 55 280
e 56 398
e 56 309
e 57 127
e 57 266
e 57 88
e 58 299
e 58 439
e 58 138
e 59 226
e 59 209
e 59 448
e 60 470
e 60 349
e 60 114
e 61 321
e 61 190
e 62 504
e 62 447
e 62 295
e 63 475
e 63 145
e 63 338
e 64 134
e 65 384
e 65 224
e 65 498
e 66 161
e 66 397
e 66 451
e 67 76
e 67 335
e 68 398
e 69 489
e 69 355
e 69 227
e 70 368
e 70 396
e 70 122
e 71 393
e 71 170
e 72 108
e 72 199
e 72 112
e 73 239
e 73 253
e 73 310
e 74 394
e 74 148
e 74 215
e 75 202
e 75 377
e 75 225
e 76 447
e 76 119
e 77 112
e 77 294
e 77 83
e 78 284
e 78 336
e 78 452
e 79 348
e 79 286
e 79 497
e 80 385
e 80 484
e 80 217
e 81 143
e 81 124
e 82 246
e 82 344
e 82 298
e 83 312
e 83 242
e 84 382
e 84 461
e 84 147
e 85 281
e 85 273
e 85 271
e 86 288
e 86 339
e 87 95
e 88 424
e 88 194
e 89 482
e 89 157
e 90 495
e 90 201
e 90 231
e 91 299
e 91 409
e 92 291
e 93 504
e 93 440
e 93 447
e 94 491
e 94 141
e 94 201
e 95 476
e 95 347
e 96 221
e 96 123
e 96 471
e 97 415
e 97 252
e 97 502
e 98 497
e 98 170
e 98 348
e 99 369
e 99 230
e 99 129
e 100 480
e 100 289
e 100 510
e 101 145
e 101 263
e 101 475
e 102 480
e 102 368
e 102 110
e 103 158
e 103 333
e 103 305
e 104 408
e 104 503
e 104 242
e 105 289
e 105 340
e 105 480
e 106 126
e 106 167
e 106 269
e 107 370
e 107 329
e 107 174
e 108 219
e 108 199
e 109 437
e 109 221
e 110 371
e 110 176
e 111 432
e 111 481
e 111 205
e 112 349
e 113 212
e 114 414
e 114 312
e 115 482
e 115 420
e 115 397
e 116 278
e 116 161
e 116 450
e 117 247
e 117 341
e 117 434
e 118 153
e 118 387
e 118 313
e 119 271
e 119 359
e 120 422
e 120 392
e 120 292
e 121 257
e 121 489
e 121 248
e 122 280
e 122 371
e 123 490
e 123 471
e 124 483
e 125 380
e 125 173
e 125 212
e 126 224
e 126 484
e 127 167
e 128 357
e 128 223
e 128 392
e 129 164
e 129 462
e 130 416
e 131 268
e 131 310
e 131 177
e 132 357
e 132 223
e 132 422
e 133 265
e 133 245
e 133 251
e 134 186
e 135 181
e 135 457
e 135 273
e 136 495
e 136 452
e 136 231
e 137 161
e 137 451
e 137 450
e 138 299
e 138 439
e 139 239
e 139 423
e 139 310
e 140 332
e 140 457
e 140 486
e 141 452
e 141 495
e 142 238
e 142 329
e 142 446
e 143 356
e 143 186
e 144 347
e 144 380
e 144 297
e 145 215
e 146 367
e 146 219

e 148 375
e 148 215
e 149 227
e 149 158
e 149 206
e 150 290
e 150 475
e 150 316
e 151 231
e 151 323
e 151 324
e 152 426
e 152 501
e 152 441
e 153 241
e 153 445
e 154 493
e 154 392
e 154 378
e 155 216
e 155 190
e 155 430
e 156 466
e 156 287
e 156 316
e 157 391
e 157 431
e 158 507
e 159 350
e 159 201
e 159 277
e 160 494
e 160 393

e 162 410
e 162 415
e 162 204
e 163 376
e 163 503
e 163 509
e 164 462
e 164 426
e 165 434
e 165 237
e 166 205
e 166 278
e 166 222
e 167 435
e 168 427
e 168 395
e 168 266
e 169 235
e 169 292
e 169 468
e 170 351
e 171 265
e 171 251
e 172 394
e 172 428
e 173 332
e 173 273
e 174 370
e 175 235
e 175 184
e 175 422
e 176 510
e 176 340
e 177 505
e 177 426
e 178 320
e 178 491
e 178 195
e 179 319
e 179 436
e 179 302
e 180 509
e 180 448
e 181 490
e 181 208
e 182 306
e 182 193
e 183 300
e 183 315
e 183 307
e 184 454
e 184 506
e 185 459
e 185 395
e 185 465

e 187 358
e 187 434
e 187 237
e 188 353
e 188 254
e 189 221
e 189 437
e 189 490


e 192 311
e 192 373
e 192 248
e 193 306
e 193 476
e 194 390
e 194 407
e 195 350
e 195 491
e 196 342
e 196 364
e 196 402
e 197 304
e 197 238
e 198 276
e 199 419
e 200 338
e 200 282
e 200 229

e 202 228
e 202 207
e 203 397
e 203 210
e 203 476
e 204 412
e 204 415
e 205 511
e 206 268
e 206 360
e 207 244
e 207 508
e 208 388
e 208 287
e 209 406
e 209 384
e 210 240
e 210 267
e 211 315
e 211 314
e 212 243
e 213 493
e 213 506
e 213 468
e 214 507
e 214 333
e 214 508

e 216 430
e 216 286
e 217 283
e 217 385
e 218 448
e 218 421

e 220 504
e 220 455
e 220 295

e 222 425
e 222 361
e 223 357
e 224 484
e 225 339
e 225 433
e 226 261

e 228 366
e 228 333
e 229 282
e 229 338
e 230 289

e 232 464
e 232 405
e 232 257
e 233 262
e 233 501
e 233 258
e 234 351
e 234 263
e 234 274
e 235 454
e 236 363
e 236 280
e 237 454
e 238 329

e 240 418
