c Вес дерева 983.0, самое длинное ребро = 38
p edge 64
e 1 49
e 1 13
e 1 9
e 2 58
e 2 5
e 2 60
e 3 42
e 3 33
e 3 60
e 4 17
e 4 38
e 4 44
e 5 31
e 5 12
e 6 48
e 6 23
e 6 37
e 7 11
e 7 59
e 7 25
e 8 38
e 8 19
e 8 48
e 9 13
e 9 11
e 10 46
e 10 14
e 10 47
e 11 61
e 12 15
e 12 16
e 13 49
e 14 36
e 14 24
e 15 16
e 15 30
e 16 30
e 17 44
e 17 18
e 18 41
e 18 53
e 19 37
e 19 43
e 20 40
e 20 64
e 20 56
e 21 64
e 21 56
e 21 40
e 22 24
e 22 36
e 22 57
e 23 48
e 23 54
e 24 57
e 25 40
e 25 61
e 26 62
e 26 28
e 26 29
e 27 42
e 27 50
e 27 55
e 28 43
e 28 62
e 29 43
e 29 39
e 30 45
e 31 35
e 31 63
e 32 42
e 32 55
e 32 49
e 33 60
e 33 63
e 34 51
e 34 36
e 34 57
e 35 47
e 35 45

e 37 52
e 38 54
e 39 62
e 39 46

e 41 53
e 41 63


e 44 54
e 45 52
e 46 47



e 50 58
e 50 55
e 51 58
e 51 52

e 53 59


e 56 64


e 59 61





