c Вес дерева 929.5, самое длинное ребро = 57
p edge 64
e 1 32
e 1 49
e 1 9
e 2 33
e 2 58
e 2 63
e 3 60
e 3 53
e 3 33
e 4 17
e 4 44
e 4 54
e 5 35
e 5 31
e 5 63
e 6 8
e 6 23
e 6 48
e 7 11
e 7 49
e 7 59
e 8 38
e 8 45
e 9 59
e 9 13
e 10 46
e 10 24
e 10 57
e 11 56
e 11 25
e 12 31
e 12 16
e 12 35
e 13 32
e 13 49
e 14 24
e 14 36
e 14 22
e 15 30
e 15 45
e 15 16
e 16 45
e 17 44
e 17 23
e 18 63
e 18 41
e 18 60
e 19 37
e 19 43
e 19 48
e 20 40
e 20 25
e 20 64
e 21 40
e 21 56
e 21 61
e 22 24
e 22 34
e 23 44

e 25 61
e 26 29
e 26 62
e 26 28
e 27 42
e 27 50
e 27 32
e 28 62
e 28 43
e 29 39
e 29 62
e 30 54
e 30 52
e 31 35

e 33 60
e 34 36
e 34 51

e 36 57
e 37 48
e 37 52
e 38 54
e 38 52
e 39 43
e 39 46
e 40 56
e 41 53
e 41 47
e 42 50
e 42 58



e 46 47
e 47 53


e 50 58
e 51 57
e 51 55



e 55 59
e 55 61









