c Вес дерева 27493.0, самое длинное ребро = 371
p edge 512
e 1 215
e 1 475
e 1 37
e 2 245
e 2 133
e 2 302
e 3 211
e 3 315
e 3 4
e 4 31
e 4 24
e 5 12
e 5 147
e 5 92
e 6 512
e 6 489
e 6 121
e 7 448
e 7 21
e 7 370
e 8 247
e 8 165
e 8 250
e 9 249
e 9 104
e 9 496
e 10 410
e 10 246
e 10 356
e 11 134
e 11 191
e 11 418
e 12 291
e 12 464
e 13 234
e 13 39
e 13 170
e 14 342
e 14 470
e 14 47
e 15 84
e 15 354
e 15 130
e 16 267
e 16 204
e 16 124
e 17 404
e 17 490
e 17 53
e 18 362
e 18 48
e 18 306
e 19 219
e 19 163
e 19 146
e 20 221
e 20 178
e 20 404
e 21 32
e 21 285
e 22 280
e 22 480
e 22 293
e 23 353
e 23 431
e 23 362
e 24 467
e 24 130
e 25 353
e 25 134
e 25 432
e 26 344
e 26 487
e 26 436
e 27 298
e 27 481
e 27 321
e 28 381
e 28 473
e 28 165
e 29 510
e 29 442
e 29 236
e 30 254
e 30 82
e 30 443
e 31 259
e 31 232
e 32 334
e 32 370
e 33 176
e 33 485
e 33 363
e 34 52
e 34 243
e 34 482
e 35 226
e 35 163
e 35 180
e 36 278
e 36 450
e 36 451
e 37 148
e 37 234
e 38 152
e 38 164
e 38 55
e 39 430
e 39 160
e 40 451
e 40 161
e 40 460
e 41 503
e 41 163
e 41 279
e 42 264
e 42 416
e 42 232
e 43 111
e 43 294
e 43 322
e 44 106
e 44 127
e 44 433
e 45 421
e 45 458
e 45 174
e 46 482
e 46 66
e 46 391
e 47 342
e 47 470
e 48 240
e 48 210
e 49 135
e 49 486
e 49 181
e 50 52
e 50 212
e 50 420
e 51 274
e 51 243
e 51 348
e 52 243
e 53 96
e 53 490
e 54 453
e 54 292
e 54 154
e 55 129
e 55 369
e 56 189
e 56 309
e 56 68
e 57 88
e 57 185
e 57 459
e 58 399
e 58 401
e 58 307
e 59 328
e 59 249
e 59 406
e 60 349
e 60 166
e 60 460
e 61 190
e 61 356
e 61 252
e 62 93
e 62 444
e 62 295
e 63 474
e 63 145
e 63 150
e 64 205
e 64 362
e 64 425
e 65 207
e 65 325
e 65 498
e 66 240
e 66 450
e 67 388
e 67 135
e 67 273
e 68 398
e 68 411
e 69 355
e 69 337
e 69 393
e 70 396
e 70 102
e 70 100
e 71 512
e 71 170
e 71 162
e 72 108
e 72 242
e 72 496
e 73 177
e 73 310
e 73 131
e 74 215
e 74 444
e 74 172
e 75 325
e 75 279
e 75 202
e 76 335
e 76 273
e 76 457
e 77 456
e 77 322
e 77 205
e 78 463
e 78 452
e 78 90
e 79 155
e 79 348
e 79 234
e 80 217
e 80 224
e 80 202
e 81 331
e 81 418
e 81 443
e 82 472
e 82 487
e 83 114
e 83 496
e 83 408
e 84 467
e 84 416
e 85 221
e 85 437
e 85 173
e 86 250
e 86 339
e 86 247
e 87 254
e 87 155
e 87 204
e 88 390
e 88 185
e 89 391
e 89 157
e 89 137
e 90 350
e 90 136
e 91 138
e 91 183
e 91 413
e 92 405
e 92 147
e 93 295
e 93 466
e 94 187
e 94 323
e 94 231
e 95 210
e 95 431
e 95 191
e 96 309
e 96 320
e 97 298
e 97 162
e 97 502
e 98 170
e 98 497
e 98 351
e 99 129
e 99 330
e 99 340
e 100 363
e 100 485
e 101 474
e 101 145
e 101 148
e 102 105
e 102 289
e 103 489
e 103 507
e 103 305
e 104 146
e 104 318
e 105 480
e 105 371
e 106 433
e 106 473
e 107 251
e 107 246
e 107 142
e 108 242
e 108 245
e 109 438
e 109 189
e 109 281
e 110 485
e 110 176
e 110 396
e 111 205
e 111 443
e 112 317
e 112 322
e 112 460
e 113 391
e 113 172
e 113 274
e 114 414
e 114 408
e 115 463
e 115 326
e 115 336
e 116 161
e 116 191
e 116 303
e 117 151
e 117 250
e 117 341
e 118 358
e 118 313
e 118 387
e 119 273
e 119 271
e 119 221
e 120 292
e 120 213
e 120 392
e 121 257
e 121 227
e 122 289
e 122 480
e 122 383
e 123 260
e 123 471
e 123 189
e 124 331
e 124 143
e 125 281
e 125 447
e 125 359
e 126 225
e 126 498
e 126 433
e 127 185
e 127 167
e 128 169
e 128 392
e 128 175
e 129 262
e 130 416
e 131 310
e 131 149
e 132 357
e 132 422
e 132 169
e 133 302
e 133 245
e 134 303
e 135 457
e 136 350
e 136 231
e 137 450
e 137 203
e 138 299
e 138 403
e 139 423
e 139 291
e 139 227
e 140 457
e 140 486
e 140 388
e 141 151
e 141 231
e 141 201
e 142 218
e 142 421
e 143 432
e 143 487
e 144 482
e 144 347
e 144 420
e 145 475
e 146 367
e 147 467
e 148 263
e 149 158
e 149 268
e 150 455
e 150 220
e 151 341
e 152 164
e 152 426
e 153 241
e 153 454
e 153 379
e 154 308
e 154 453
e 155 430
e 156 295
e 156 466
e 156 375
e 157 476
e 157 188
e 158 507
e 158 305
e 159 201
e 159 309
e 159 491
e 160 351
e 160 216
e 161 451
e 162 412

e 164 462
e 165 237
e 166 425
e 166 303
e 167 473
e 167 339
e 168 479
e 168 427
e 168 395
e 169 468

e 171 179
e 171 265
e 171 319
e 172 263
e 173 181
e 173 447
e 174 285
e 174 421
e 175 392
e 175 223
e 176 363
e 177 310
e 177 343
e 178 284
e 178 195
e 179 511
e 179 251
e 180 218
e 180 448
e 181 335
e 182 476
e 182 210
e 182 418
e 183 300
