c Вес дерева 27655.0, самое длинное ребро = 407
p edge 512
e 1 63
e 1 200
e 1 474
e 2 265
e 2 511
e 2 509
e 3 315
e 3 24
e 3 307
e 4 382
e 4 467
e 4 24
e 5 31
e 5 429
e 5 147
e 6 69
e 6 227
e 6 257
e 7 107
e 7 370
e 7 171
e 8 247
e 8 117
e 8 288
e 9 242
e 9 318
e 9 276
e 10 190
e 10 246
e 10 410
e 11 134
e 11 362
e 11 48
e 12 311
e 12 31
e 12 373
e 13 87
e 13 348
e 13 170
e 14 47
e 14 60
e 14 402
e 15 405
e 15 354
e 15 382
e 16 353
e 16 267
e 16 188
e 17 490
e 17 189
e 17 53
e 18 353
e 18 306
e 18 134
e 19 419
e 19 367
e 19 261
e 20 420
e 20 189
e 20 411
e 21 107
e 21 133
e 21 345
e 22 480
e 22 293
e 22 275
e 23 210
e 23 362
e 23 48
e 24 211
e 25 362
e 25 48
e 25 431
e 26 143
e 26 436
e 26 472
e 27 179
e 27 511
e 27 298
e 28 44
e 28 127
e 28 237
e 29 369
e 29 236
e 29 352
e 30 143
e 30 254
e 30 418
e 31 461
e 32 334
e 32 365
e 32 370
e 33 176
e 33 510
e 33 363
e 34 113
e 34 50
e 34 359
e 35 180
e 35 261
e 35 509
e 36 66
e 36 191
e 36 450
e 37 351
e 37 263
e 37 148
e 38 239
e 38 426
e 38 129
e 39 393
e 39 170
e 39 494
e 40 191
e 40 278
e 40 64
e 41 328
e 41 377
e 41 249
e 42 478
e 42 121
e 42 91
e 43 111
e 43 481
e 43 436
e 44 339
e 44 185
e 45 365
e 45 334
e 45 421
e 46 137
e 46 161
e 46 336
e 47 349
e 47 364

e 49 273
e 49 67
e 49 457
e 50 391
e 50 274
e 51 394
e 51 79
e 51 172
e 52 243
e 52 113
e 52 274
e 53 56
e 53 309
e 54 392
e 54 454
e 54 308
e 55 129
e 55 462
e 55 293
e 56 438
e 56 437
e 57 465
e 57 433
e 57 88
e 58 401
e 58 229
e 58 439
e 59 244
e 59 384
e 59 249
e 60 256
e 60 349
e 61 190
e 61 365
e 61 410
e 62 93
e 62 295
e 62 455
e 63 475
e 63 299
e 64 134
e 64 81
e 65 207
e 65 75
e 65 325
e 66 116
e 66 397
e 67 119
e 67 447
e 68 411
e 68 490
e 68 380
e 69 512
e 69 337
e 70 396
e 70 194
e 70 110
e 71 170
e 71 512
e 71 160
e 72 456
e 72 108
e 72 83
e 73 248
e 73 192
e 73 310
e 74 101
e 74 148
e 74 150
e 75 384
e 75 224
e 76 181
e 76 457
e 76 447
e 77 111
e 77 425
e 77 312
e 78 452
e 78 284
e 78 341
e 79 351
e 79 286
e 80 283
e 80 202
e 80 469
e 81 331
e 81 267
e 82 344
e 82 436
e 82 252
e 83 114
e 83 496
e 84 259
e 84 382
e 84 467
e 85 119
e 85 271
e 85 173
e 86 339
e 86 117
e 86 126
e 87 95
e 87 188
e 88 417
e 88 427
e 89 137
e 89 391
e 89 95
e 90 452
e 90 491
e 90 178
e 91 299
e 91 264
e 92 416
e 92 311
e 92 464
e 93 287
e 93 466
e 94 136
e 94 141
e 94 201
e 95 306
e 96 490
e 96 320
e 96 221
e 97 190
e 97 188
e 97 252
e 98 497
e 98 512
e 98 160
e 99 346
e 99 239
e 99 129
e 100 368
e 100 363
e 100 485
e 101 145
e 101 444
e 102 368
e 102 371
e 102 480
e 103 366
e 103 507
e 103 305
e 104 270
e 104 276
e 104 503
e 105 289
e 105 368
e 105 194
e 106 167
e 106 473
e 106 225
e 107 370
e 108 419
e 108 477
e 109 438
e 109 189
e 109 273
e 110 363
e 110 480
e 111 483
e 112 317
e 112 361
e 112 460
e 113 274
e 114 312
e 114 317
e 115 336
e 115 326
e 115 482
e 116 450
e 116 451
e 117 288
e 118 387
e 118 184
e 118 313
e 119 125
e 120 213
e 120 468
e 120 175
e 121 429
e 121 489
e 122 371
e 122 340
e 122 289
e 123 309
e 123 260
e 123 221
e 124 412
e 124 483
e 124 487
e 125 273
e 125 221
e 126 498
e 126 484
e 127 435
e 127 185
e 128 468
e 128 169
e 128 422

e 130 478
e 130 211
e 130 405
e 131 239
e 131 310
e 131 423
e 132 422
e 132 357
e 132 445
e 133 302
e 133 511

e 135 181
e 135 173
e 135 457
e 136 495
e 136 231
e 137 203
e 138 439
e 138 282
e 138 409
e 139 257
e 139 253
e 139 310
e 140 486
e 140 173
e 140 335
e 141 201
e 141 323
e 142 197
e 142 238
e 142 421
e 143 252
e 144 157
e 144 391
e 144 347
e 145 299
e 145 263
e 146 199
e 146 509
e 146 270
e 147 253
e 147 464
e 148 234
e 149 158
e 149 268
e 149 206
e 150 316
e 150 290
e 151 411
e 151 495
e 151 341
e 152 262
e 152 462
e 152 330
e 153 223
e 153 241
e 153 454
e 154 213
e 154 308
e 154 459
e 155 162
e 155 216
e 155 160
e 156 295
e 156 287
e 156 466
e 157 347
e 157 203
e 158 360
e 158 501
e 159 491
e 159 323
e 159 277

e 161 450
e 161 278
e 162 415
e 162 204
e 163 376
e 163 367
e 163 219
e 164 505
e 164 426
e 164 268
e 165 449
e 165 237
e 165 434
e 166 400
e 166 191
e 166 451
e 167 459
e 167 185
e 168 427
e 168 194
e 168 417
e 169 468
e 169 292

e 171 179
e 171 174
e 172 428
e 172 348

e 174 458
e 174 179
e 175 445
e 175 235
e 176 289
e 176 352
e 177 343
e 177 505
e 177 253
e 178 374
e 178 350

e 180 218
e 180 446
e 181 447
e 182 306
e 182 240
e 182 193
e 183 399
e 183 492
e 183 300
e 184 235
e 184 313

e 186 481
e 186 331
e 186 298
e 187 434
e 187 381
e 187 449




e 192 259
e 192 311
e 193 397
e 193 210

e 195 374
e 195 320
e 195 471
e 196 402
e 196 408
e 196 249
e 197 238
e 197 421
e 198 279
e 198 503
e 198 276
e 199 456
e 199 477
e 200 282
e 200 229
e 201 491
e 202 244
e 202 325
e 203 278
e 204 331
e 204 412
e 205 294
e 205 425
e 205 483
e 206 355
e 206 393
e 207 508
e 207 214
e 208 486
e 208 388
e 208 335
e 209 384
e 209 218
e 209 367
e 210 240
e 211 315
e 212 359
e 212 297
e 212 243
e 213 392
e 214 228
e 214 507
e 215 466
e 215 394
e 215 428
e 216 406
e 216 500
e 217 385
e 217 283
e 217 479
e 218 226
e 219 265
e 219 261
e 220 375
e 220 316
e 220 290

e 222 400
e 222 361
e 222 451
e 223 445
e 223 379
e 224 225
e 224 325
e 225 498
e 226 448
e 226 279
e 227 489
e 227 423
e 228 258
e 228 507
e 229 409
e 230 293
e 230 262
e 230 340
e 231 341
e 231 323
e 232 373
e 232 291
e 232 429
e 233 385
e 233 346
e 233 360
e 234 430
e 234 348
e 235 313
e 236 369
e 236 280
e 237 358
e 238 246

e 240 303
e 241 454
e 241 357
e 242 408
e 242 496
e 243 482
e 244 508
e 245 419
e 245 302
e 245 265
e 246 458
e 247 339
e 247 324
e 248 423
e 248 257

e 250 449
e 250 326
e 250 327
e 251 319
e 251 302
e 251 285


e 254 267
e 254 502
e 255 402
e 255 327
e 255 256
e 256 364

e 258 385
e 258 346
e 259 386
e 260 374
e 260 471

e 262 275
e 263 474
e 264 478
e 264 403

e 266 465
e 266 433
e 266 308

e 268 355
e 269 327
e 269 336
e 269 470
e 270 503
e 271 437
e 271 438
e 272 312
e 272 318
e 272 317


e 275 340

e 277 372
e 277 389

e 279 328
e 280 510
e 280 383
e 281 437
e 281 359
e 281 404
e 282 409
e 283 424
e 284 463
e 284 452
e 285 319
e 285 334
e 286 500
e 286 403
e 287 504
e 288 358

e 290 394
e 291 373
e 291 505
e 292 392
e 292 453

e 294 425
e 294 322
e 295 455
e 296 506
e 296 493
e 296 381
e 297 420
e 297 380
e 298 502

e 300 492
e 300 314
e 301 355
e 301 337
e 301 333

e 303 400
e 303 431
e 304 329
e 304 446
e 304 458
e 305 360
e 305 333

e 307 439
e 307 399

e 309 471




e 314 399
e 314 413
e 315 461
e 316 504

e 318 342
e 319 443
e 320 372
e 321 446
e 321 344
e 321 329
e 322 456
e 322 481

e 324 495
e 324 358

e 326 463

e 328 496
e 329 356
e 330 441
e 330 501

e 332 440
e 332 335
e 332 455
e 333 337




e 338 475
e 338 474
e 338 401



e 342 414
e 342 408
e 343 464
e 343 462
e 344 472
e 345 448
e 345 406

e 347 476

e 349 361
e 350 389
e 350 463
e 351 497
e 352 510
e 353 432
e 354 386
e 354 467

e 356 502
e 356 472
e 357 379






e 364 460

e 366 508
e 366 441


e 369 383

e 371 383
e 372 389


e 375 428
e 375 444
e 376 377
e 376 448
e 377 414
e 378 465
e 378 435
e 378 459
e 379 387
e 380 420
e 381 488




e 386 405
e 387 488
e 388 486
e 388 440

e 390 396
e 390 485
e 390 407


e 393 494

e 395 433
e 395 484
e 395 435
e 396 485
e 397 476
e 398 404
e 398 482
e 398 440


e 401 492

e 403 500
e 404 476

e 406 477
e 407 442
e 407 479


e 410 415

e 412 487
e 413 416
e 413 461
e 414 470
e 415 487
e 416 497
e 417 479
e 418 431
e 418 432



e 422 506

e 424 442
e 424 427

e 426 441



e 430 432
e 430 443



e 434 488







e 442 501
e 443 460
e 444 475








e 453 493
e 453 506















e 469 498
e 469 484
e 470 499


e 473 493
e 473 499















e 489 494









e 499 504













