c Вес дерева 28063.0, самое длинное ребро = 383
p edge 512
e 1 474
e 1 200
e 1 263
e 2 302
e 2 179
e 2 509
e 3 461
e 3 211
e 3 315
e 4 382
e 4 84
e 4 130
e 5 147
e 5 354
e 5 373
e 6 227
e 6 355
e 6 337
e 7 370
e 7 345
e 7 304
e 8 341
e 8 449
e 8 237
e 9 104
e 9 318
e 9 249
e 10 410
e 10 190
e 10 356
e 11 134
e 11 431
e 11 362
e 12 373
e 12 92
e 12 248
e 13 155
e 13 430
e 13 160
e 14 256
e 14 60
e 14 47
e 15 84
e 15 259
e 15 467
e 16 432
e 16 254
e 16 188
e 17 398
e 17 56
e 17 490
e 18 418
e 18 182
e 18 431
e 19 226
e 19 261
e 19 219
e 20 404
e 20 68
e 20 53
e 21 180
e 21 218
e 21 285
e 22 280
e 22 275
e 22 122
e 23 48
e 23 25
e 23 362
e 24 405
e 24 130
e 24 416
e 25 418
e 25 124
e 26 436
e 26 331
e 26 502
e 27 171
e 27 436
e 27 251
e 28 167
e 28 237
e 28 381
e 29 369
e 29 352
e 29 383
e 30 143
e 30 412
e 30 254
e 31 147
e 31 405
e 31 259
e 32 174
e 32 334
e 32 171
e 33 363
e 33 510
e 33 289
e 34 274
e 34 51
e 34 243
e 35 261
e 35 226
e 35 180
e 36 431
e 36 116
e 36 161
e 37 234
e 37 348
e 37 263
e 38 164
e 38 129
e 38 55
e 39 79
e 39 71
e 39 170
e 40 450
e 40 240
e 40 303
e 41 276
e 41 376
e 41 163
e 42 264
e 42 429
e 42 286
e 43 483
e 43 205
e 43 443
e 44 459
e 44 167
e 44 435
e 45 446
e 45 142
e 45 370
e 46 137
e 46 400
e 46 482
e 47 60
e 47 460
e 48 418
e 48 240
e 49 335
e 49 388
e 49 135
e 50 52
e 50 482
e 50 391
e 51 274
e 51 243
e 52 212
e 52 274
e 53 398
e 53 56
e 54 506
e 54 213
e 54 308
e 55 280
e 55 275
e 56 189
e 57 465
e 57 266
e 57 459
e 58 409
e 58 401
e 58 229
e 59 384
e 59 209
e 59 244
e 60 414
e 61 252
e 61 458
e 61 356
e 62 440
e 62 504
e 62 295
e 63 338
e 63 145
e 63 475
e 64 425
e 64 481
e 64 134
e 65 75
e 65 325
e 65 80
e 66 116
e 66 240
e 66 191
e 67 309
e 67 135
e 67 181
e 68 320
e 68 411
e 69 512
e 69 489
e 69 206
e 70 110
e 70 485
e 70 396
e 71 160
e 71 87
e 72 83
e 72 114
e 72 199
e 73 192
e 73 177
e 73 343
e 74 444
e 74 148
e 74 215
e 75 224
e 75 80
e 76 273
e 76 208
e 76 109
e 77 317
e 77 456
e 77 294
e 78 411
e 78 463
e 78 284
e 79 430
e 79 351
e 80 202
e 81 362
e 81 278
e 81 483
e 82 321
e 82 344
e 82 331
e 83 419
e 83 242
e 84 467
e 85 119
e 85 281
e 85 271
e 86 473
e 86 339
e 86 247
e 87 252
e 87 95
e 88 194
e 88 479
e 88 168
e 89 144
e 89 347
e 89 137
e 90 350
e 90 277
e 90 452
e 91 478
e 91 138
e 91 282
e 92 147
e 92 464
e 93 287
e 93 375
e 93 504
e 94 324
e 94 136
e 94 277
e 95 182
e 95 347
e 96 309
e 96 490
e 96 260
e 97 252
e 97 204
e 97 254
e 98 430
e 98 216
e 98 170
e 99 275
e 99 262
e 99 462
e 100 105
e 100 176
e 100 363
e 101 263
e 101 466
e 101 475
e 102 485
e 102 368
e 102 371
e 103 158
e 103 507
e 103 501
e 104 496
e 104 503
e 105 289
e 105 480
e 106 126
e 106 167
e 106 473
e 107 180
e 107 218
e 107 345
e 108 477
e 108 245
e 108 419
e 109 119
e 109 273
e 110 383
e 110 122
e 111 443
e 111 134
e 111 483
e 112 425
e 112 361
e 112 317
e 113 234
e 113 157
e 113 243
e 114 460
e 114 312
e 115 336
e 115 326
e 115 391
e 116 191
e 117 324
