n = 512
269	61
261	259
438	16
471	70
464	121
375	201
280	256
142	354
255	274
266	244
248	251
461	170
267	176
241	278
485	76
251	239
61	188
247	243
265	266
87	220
267	260
492	409
246	249
438	64
248	250
259	249
258	255
170	415
478	444
256	246
475	133
268	255
471	507
191	178
270	266
239	249
263	104
478	290
303	196
243	255
265	296
397	106
254	254
209	415
267	253
200	251
240	271
245	247
47	69
183	181
215	132
192	170
58	186
132	481
474	356
71	191
266	468
346	24
291	287
239	268
266	243
142	18
260	25
249	254
279	331
235	248
42	85
81	210
366	224
364	509
307	196
254	264
482	207
224	64
274	332
73	76
252	260
108	264
287	134
311	356
250	250
261	249
253	268
493	72
92	130
188	369
257	201
316	447
205	229
57	273
376	70
460	118
145	51
29	341
241	217
42	177
259	237
306	161
459	375
431	476
252	67
409	463
392	302
259	273
417	444
231	385
270	257
257	264
75	133
396	504
253	254
247	262
187	148
251	268
169	242
235	250
142	333
45	415
112	119
83	505
403	175
431	415
25	155
254	248
129	119
253	376
212	438
36	491
467	348
447	71
458	237
5	507
259	260
250	251
51	88
49	287
220	246
339	69
439	217
81	4
27	320
270	252
257	247
180	218
256	54
262	264
481	125
238	93
406	245
233	21
92	312
472	311
30	433
186	497
275	188
164	60
213	215
387	273
17	280
305	190
236	252
265	232
265	270
474	273
141	391
241	257
231	409
306	450
60	470
301	162
262	256
223	107
95	83
266	256
62	471
444	505
498	234
48	246
261	256
269	262
53	78
241	243
385	3
88	436
239	446
256	252
110	388
250	238
71	163
264	241
241	250
485	170
239	237
344	460
6	251
250	277
271	248
262	275
256	264
305	36
19	281
315	321
229	247
257	234
252	257
407	248
314	304
31	32
289	265
243	245
434	37
166	145
104	499
357	295
184	64
282	155
338	388
270	259
265	265
186	1
85	151
238	260
10	470
271	351
247	354
270	269
388	179
369	321
325	26
436	402
41	303
420	132
377	350
251	136
69	458
508	447
126	389
271	249
463	269
243	246
26	438
254	269
201	149
308	294
260	260
268	249
155	347
457	185
255	281
173	340
263	257
261	245
486	177
255	243
218	293
245	271
423	194
374	341
481	111
13	167
267	266
439	352
259	95
392	84
262	259
266	476
251	246
416	243
213	317
261	267
82	145
248	266
77	90
183	139
473	386
258	277
20	307
242	252
267	277
488	424
110	130
320	41
338	357
120	257
266	258
331	122
162	48
151	334
428	455
205	41
446	149
89	477
452	385
251	259
166	27
113	469
149	200
258	253
345	57
368	7
353	252
260	258
243	251
276	247
383	295
242	243
377	26
184	463
34	179
469	227
468	169
250	265
55	430
395	29
446	17
176	4
248	263
249	274
262	254
40	210
263	252
254	259
40	327
69	337
291	358
165	268
214	296
259	288
269	250
418	360
256	250
84	17
352	284
268	253
76	67
191	272
353	255
293	0
198	370
446	433
115	339
246	274
500	184
263	249
272	260
372	374
228	214
270	128
243	265
19	273
282	125
479	469
249	248
507	95
374	231
262	246
10	506
80	377
150	172
422	302
245	264
248	249
459	462
249	271
266	252
367	303
263	265
426	458
468	441
268	256
413	442
12	220
467	160
8	229
172	92
268	270
258	278
240	504
1	408
134	212
121	428
498	77
400	431
279	272
348	363
507	98
37	419
51	36
9	228
372	448
198	218
94	491
329	235
198	76
268	418
364	473
232	241
62	194
385	31
238	259
364	34
248	278
359	91
100	198
451	84
282	257
372	405
251	271
367	20
267	240
92	235
256	245
402	35
249	270
261	235
437	84
331	420
247	246
260	266
149	210
270	253
46	507
436	198
320	409
248	258
501	290
318	467
184	88
414	135
270	167
247	247
254	249
267	391
121	387
238	441
259	253
96	163
73	134
357	51
117	31
416	339
376	408
255	253
222	40
24	417
268	251
113	84
273	263
138	340
238	250
241	252
90	281
137	469
88	441
180	18
255	258
54	41
267	248
212	433
245	265
495	19
469	313
121	265
467	137
260	487
170	68
488	83
81	479
289	375
240	270
5	176
259	248
222	396
292	61
275	50
237	240
256	261
412	75
336	417
430	443
255	255
197	229
255	250
258	379
391	453
28	7
256	248
98	415
392	212
54	194
18	273
367	8
138	498
309	263
52	306
253	270
322	125
273	363
314	270
313	105
398	334
258	245
261	272
145	32
479	208
118	480
367	300
328	281
263	262
473	496
260	257
363	192
