n = 128
92	10
108	33
79	27
5	106
112	44
101	45
5	57
68	54
113	98
80	76
59	67
54	57
2	49
66	67
63	69
65	116
20	32
67	80
42	95
43	31
54	97
24	90
114	63
104	0
113	26
58	35
13	68
45	37
71	58
12	70
65	54
65	64
55	57
127	55
77	112
65	62
88	100
72	63
113	108
65	68
91	29
62	73
24	125
109	85
63	67
69	57
116	71
73	67
8	113
39	14
70	60
60	73
47	33
15	74
3	122
88	126
67	60
55	62
61	59
100	9
123	25
70	18
50	41
7	25
65	78
68	69
107	122
85	93
65	66
100	17
33	118
87	83
86	79
64	73
59	52
72	67
71	106
69	68
41	59
27	48
68	61
100	37
83	59
117	12
7	84
69	63
59	26
67	69
5	23
62	65
62	62
82	22
59	63
19	123
72	55
57	63
25	32
85	4
6	1
58	38
10	3
68	57
110	59
47	23
67	68
50	33
73	62
62	64
66	69
86	9
43	11
126	103
50	69
75	67
13	32
73	114
71	71
109	55
37	0
125	79
82	82
58	69
7	42
64	65
95	83
19	109
25	2
65	65
